,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Leningradskiy,3,RU,1612987269,83,69.3833,178.4167,239.41,4.43
1,Severo-Kuril'sk,100,RU,1612987270,87,50.6789,156.125,269.61,1.98
2,Kapaa,40,US,1612987075,49,22.0752,-159.319,296.15,6.69
3,Atuona,1,PF,1612987273,77,-9.8,-139.0333,299.26,8.33
4,Barrow,1,US,1612987274,68,71.2906,-156.7887,241.15,4.63
5,Marapanim,100,BR,1612987275,91,-0.7175,-47.6997,299.48,2.1
6,Hobart,0,AU,1612987103,82,-42.8794,147.3294,285.15,4.12
7,Jamestown,1,US,1612987040,58,42.097,-79.2353,269.26,1.54
8,Puerto Ayora,75,EC,1612987085,83,-0.7393,-90.3518,300.15,1.54
9,Punta Arenas,0,CL,1612987083,55,-53.15,-70.9167,292.15,4.63
10,Hithadhoo,72,MV,1612987156,76,-0.6,73.0833,300.84,5.22
11,Rikitea,29,PF,1612987035,74,-23.1203,-134.9692,299.03,5.9
12,Ferme-Neuve,88,CA,1612987283,32,46.7001,-75.4493,265.15,4.63
13,Pevek,0,RU,1612987284,70,69.7008,170.3133,248.09,0.45
14,Yaan,50,NG,1612987285,13,7.3833,8.5667,302.59,2.08
15,Ponta do Sol,87,PT,1612987286,76,32.6667,-17.1,288.71,0.89
16,Ushuaia,0,AR,1612987079,31,-54.8,-68.3,299.15,8.23
17,Qaanaaq,94,GL,1612987076,71,77.484,-69.3632,256.94,5.3
18,Westport,1,US,1612987007,55,41.1415,-73.3579,273.71,3.6
19,São Filipe,18,CV,1612987291,73,14.8961,-24.4956,295.48,3.17
20,Firovo,100,RU,1612987292,94,57.4814,33.7021,256.02,2.44
21,Bluff,100,NZ,1612987241,89,-46.6,168.3333,284.85,15.71
22,Avarua,20,CK,1612987138,74,-21.2078,-159.775,302.15,4.63
23,Krasnosel'kup,100,RU,1612987295,87,65.7,82.4667,243.12,2.37
24,Tuatapere,100,NZ,1612987076,90,-46.1333,167.6833,283.85,7.55
25,Matagami,90,CA,1612987297,73,49.7502,-77.6328,262.15,4.12
26,Saint-Philippe,20,RE,1612987299,69,-21.3585,55.7679,300.15,2.57
27,Bubaque,30,GW,1612987135,78,11.2833,-15.8333,298.35,6.1
28,Mogadishu,79,SO,1612987155,77,2.0371,45.3438,298.37,10.72
29,East London,1,ZA,1612987302,85,-33.0153,27.9116,297.71,5.59
30,Volkhov,100,RU,1612987303,34,59.9258,32.3382,255.37,1.54
31,Boueni,0,YT,1612987304,94,-12.9025,45.0761,297.15,0.51
32,Busselton,5,AU,1612987305,98,-33.65,115.3333,285.93,3.5
33,Aswān,82,EG,1612987222,32,24.0934,32.907,294.96,4.19
34,Chokurdakh,91,RU,1612987308,89,70.6333,147.9167,249.18,3.93
35,Oranjemund,7,NA,1612987309,82,-28.55,16.4333,291.9,4.24
36,Bambous Virieux,40,MU,1612987310,83,-20.3428,57.7575,299.15,6.17
37,Khatanga,87,RU,1612987311,84,71.9667,102.5,245.97,2.38
38,Butaritari,79,KI,1612987312,76,3.0707,172.7902,300.65,7.37
39,Grindavik,40,IS,1612987313,80,63.8424,-22.4338,275.15,6.69
40,Jerez,40,GT,1612987314,42,14.1,-89.75,304.15,1.03
41,Egvekinot,5,RU,1612987315,81,66.3167,-179.1667,240.18,6.32
42,Kalemie,100,CD,1612987316,83,-5.9475,29.1947,295.36,2.63
43,Longyearbyen,90,SJ,1612987318,72,78.2186,15.6401,261.15,10.29
44,Hasaki,20,JP,1612987319,52,35.7333,140.8333,278.15,3.6
45,Lavrentiya,0,RU,1612987320,80,65.5833,-171.0,239.88,4.53
46,New Norfolk,0,AU,1612987321,70,-42.7826,147.0587,284.26,1.19
47,Semnan,100,IR,1612987322,46,35.5729,53.3971,284.25,0.81
48,Cuamba,100,MZ,1612987323,96,-14.8031,36.5372,294.78,2.17
49,Vung Tau,17,VN,1612987325,86,10.346,107.0843,296.86,7.62
50,Cape Town,0,ZA,1612987189,78,-33.9258,18.4232,294.82,7.72
51,Albany,100,US,1612987177,44,42.6001,-73.9662,271.48,1.34
52,Sol'-Iletsk,100,RU,1612987328,96,51.1631,54.9918,263.79,3.19
53,Bandarbeyla,96,SO,1612987329,68,9.4942,50.8122,296.93,8.3
54,Tongliao,0,CN,1612987331,92,43.6125,122.2653,268.78,5.95
55,Teguise,20,ES,1612987332,72,29.0605,-13.564,292.15,3.09
56,Port Hardy,75,CA,1612987333,69,50.6996,-127.4199,273.15,1.54
57,Lagoa,90,PT,1612987334,66,39.05,-27.9833,287.55,15.08
58,Māngrol,100,IN,1612987335,39,21.1167,70.1167,294.28,4.04
59,Kodinsk,91,RU,1612987336,88,58.6881,99.1844,251.41,1.53
60,Najrān,0,SA,1612987337,55,17.4924,44.1277,289.15,1.54
61,Te Anau,100,NZ,1612987339,86,-45.4167,167.7167,283.07,3.21
62,Baruun-Urt,75,MN,1612987340,90,46.6806,113.2792,268.01,5.74
63,Hilo,90,US,1612987341,60,19.7297,-155.09,296.15,4.63
64,Camaná,33,PE,1612987342,63,-16.6228,-72.7111,297.74,3.25
65,Cabo San Lucas,1,MX,1612987200,49,22.8909,-109.9124,299.26,5.14
66,Santa Maria,40,BR,1612987106,78,-29.6842,-53.8069,299.15,1.03
67,Arraial do Cabo,40,BR,1612987121,73,-22.9661,-42.0278,301.15,6.69
68,Ribeira Grande,40,PT,1612987347,63,38.5167,-28.7,289.15,12.86
69,Vaini,89,TO,1612987348,87,-21.2,-175.2,299.18,6.61
70,Cortez,90,US,1612987349,53,37.3489,-108.5859,280.15,2.05
71,Eirunepé,56,BR,1612987350,77,-6.6603,-69.8736,302.96,1.15
72,Nianzishan,100,CN,1612987351,94,47.5167,122.8833,262.53,1.57
73,Chapais,90,CA,1612987352,61,49.7834,-74.8492,260.15,2.57
74,Tuktoyaktuk,20,CA,1612987354,68,69.4541,-133.0374,239.15,3.6
75,Bathsheba,40,BB,1612987355,57,13.2167,-59.5167,301.15,10.29
76,Saldanha,0,ZA,1612987356,73,-33.0117,17.9442,293.15,6.69
77,Huambo,100,AO,1612987357,61,-12.7761,15.7392,290.7,2.64
78,Palmer,40,US,1612987358,50,42.1584,-72.3287,272.59,3.09
79,Port Alfred,15,ZA,1612987359,93,-33.5906,26.891,295.93,4.11
80,Saskylakh,0,RU,1612987074,83,71.9167,114.0833,243.51,4.13
81,Shangrao,100,CN,1612987361,93,28.4532,117.9686,283.78,2.5
82,Tiksi,100,RU,1612987363,87,71.6872,128.8694,248.56,1.81
83,Batemans Bay,9,AU,1612987364,91,-35.7167,150.1833,290.37,1.44
84,Husavik,90,IS,1612987365,93,66.0449,-17.3389,265.15,1.03
85,Nālūt,0,LY,1612987366,34,30.3333,10.85,287.43,2.43
86,Port Elizabeth,75,ZA,1612987367,88,-33.918,25.5701,297.15,2.06
87,Touros,40,BR,1612987289,66,-5.1989,-35.4608,303.15,7.72
88,Nanortalik,43,GL,1612987370,89,60.1432,-45.2371,268.61,4.46
89,Nikolskoye,40,RU,1612987371,85,59.7035,30.7861,259.82,2.0
90,Lebu,0,CL,1612987372,64,-37.6167,-73.65,293.81,3.09
91,Kadaya,100,RU,1612987373,94,50.9327,119.2911,255.13,0.45
92,Elko,90,US,1612987206,53,41.0002,-115.5012,280.37,2.57
93,Roebourne,24,AU,1612987375,64,-20.7833,117.1333,302.29,5.72
94,Sangolquí,40,EC,1612987376,46,-0.3341,-78.4522,296.15,4.12
95,Japura,75,ID,1612987377,95,-0.3167,102.35,296.82,0.35
96,Saint-Joseph,20,RE,1612987379,69,-21.3667,55.6167,300.15,2.57
97,Māgadi,97,IN,1612987380,59,12.9667,77.2333,290.15,1.03
98,Kaitangata,58,NZ,1612987107,52,-46.2817,169.8464,287.59,7.6
99,Saint Paul Harbor,90,US,1612987382,75,57.79,-152.4072,276.15,9.26
100,Belaya Glina,60,RU,1612987383,79,46.07,40.86,280.93,4.19
101,Upernavik,15,GL,1612987384,92,72.7868,-56.1549,256.31,5.02
102,Rawson,0,AR,1612987148,26,-43.3002,-65.1023,302.27,13.44
103,Kangaatsiaq,0,GL,1612987386,86,68.3065,-53.4641,260.01,2.51
104,Nome,1,US,1612987388,53,64.5011,-165.4064,248.15,4.63
105,Gurlan,0,UZ,1612987389,74,41.8447,60.3919,273.15,3.09
106,Ørnes,40,NO,1612987390,86,66.8689,13.7078,265.15,4.63
107,Manggar,100,ID,1612987391,88,-2.8833,108.2667,298.99,3.98
108,Saint George,1,US,1612987254,31,37.1041,-113.5841,290.37,2.06
109,Iskateley,100,RU,1612987393,90,67.6803,53.1512,250.09,2.02
110,Mataura,100,NZ,1612987394,93,-46.1927,168.8643,282.82,5.19
111,Dikson,92,RU,1612987137,89,73.5069,80.5464,243.62,3.62
112,Torbay,75,CA,1612987133,80,47.6666,-52.7314,270.37,7.72
113,Ancud,0,CL,1612987398,42,-41.8697,-73.8203,302.15,3.09
114,Ambulu,82,ID,1612987158,89,-8.345,113.6058,297.16,1.42
115,Vanimo,100,PG,1612987153,88,-2.6741,141.3028,298.2,1.93
116,Nago,90,JP,1612987401,94,26.5881,127.9761,291.15,9.26
117,Oyama,20,JP,1612987402,74,36.3,139.8,280.93,0.51
118,Chui,71,UY,1612987112,75,-33.6971,-53.4616,297.37,5.35
119,Pontes e Lacerda,83,BR,1612987313,49,-15.2261,-59.3353,304.7,2.87
120,Deputatsky,49,RU,1612987406,89,69.3,139.9,242.25,0.92
121,Al Bardīyah,0,LY,1612987407,50,31.7561,25.0865,289.97,3.0
122,Ixtapa,1,MX,1612987408,73,20.7,-105.2,296.15,5.14
123,Hermanus,11,ZA,1612987409,80,-34.4187,19.2345,294.26,1.34
124,Salalah,0,OM,1612987410,27,17.0151,54.0924,298.15,3.09
125,Mulchén,0,CL,1612987411,25,-37.7167,-72.2333,310.15,3.6
126,Kenai,90,US,1612987412,85,60.5544,-151.2583,264.26,4.63
127,Nogliki,100,RU,1612987413,95,51.8333,143.1667,263.95,7.58
128,Abalak,0,RU,1612987415,87,58.1286,68.5944,242.55,1.74
129,Paita,20,PE,1612987416,54,-5.0892,-81.1144,303.15,5.14
130,Aksu,99,CN,1612987417,74,41.1231,80.2644,274.95,1.52
131,Hong Kong,84,HK,1612987398,88,22.2855,114.1577,289.26,2.41
132,Porto Walter,100,BR,1612987420,72,-8.2686,-72.7439,302.46,0.84
133,Wahpeton,22,US,1612987421,54,46.2652,-96.6059,253.15,3.85
134,Ukiah,1,US,1612987422,44,39.1502,-123.2078,289.15,1.74
135,Yangjiang,3,CN,1612987423,92,21.85,111.9667,287.63,1.86
136,Castro,38,BR,1612986919,72,-24.7911,-50.0119,295.28,1.14
137,Banikoara,0,BJ,1612987426,14,11.2985,2.4386,300.67,2.1
138,Coquimbo,40,CL,1612987427,68,-29.9533,-71.3436,293.15,4.63
139,Manokwari,100,ID,1612987428,80,-0.8667,134.0833,299.28,1.75
140,Provideniya,0,RU,1612987429,70,64.3833,-173.3,249.15,7.0
141,Kimbe,100,PG,1612987431,90,-5.5502,150.1429,297.5,1.04
142,Mahébourg,40,MU,1612987432,83,-20.4081,57.7,299.15,6.17
143,Carnarvon,0,AU,1612987423,94,-24.8667,113.6333,294.15,9.77
144,Yellowknife,20,CA,1612987205,70,62.456,-114.3525,250.93,3.09
145,Lata,100,PT,1612987435,99,40.1629,-8.3327,287.59,3.58
146,Fayaoué,0,NC,1612987436,69,-20.65,166.5333,299.46,2.98
147,Vila Velha,20,BR,1612987434,69,-20.3297,-40.2925,302.59,5.66
148,Mar del Plata,40,AR,1612987439,78,-38.0023,-57.5575,294.15,7.72
149,Progreso,75,MX,1612987278,43,21.2833,-89.6667,306.48,4.12
150,Biak,99,ID,1612987441,79,-0.9131,122.8766,298.42,0.86
151,Paris,90,FR,1612986922,74,48.8534,2.3488,270.37,5.66
152,Buinsk,90,RU,1612987443,78,54.95,48.2833,259.15,4.0
153,Los Llanos de Aridane,75,ES,1612987420,77,28.6585,-17.9182,292.15,0.51
154,Phang Nga,20,TH,1612987445,74,8.4509,98.5298,300.15,2.57
155,Cidreira,68,BR,1612987446,77,-30.1811,-50.2056,297.96,6.37
156,Constitución,30,CL,1612987448,72,-35.3333,-72.4167,293.67,2.77
157,Anadyr,0,RU,1612987449,69,64.75,177.4833,245.37,1.0
158,Umarizal,28,BR,1612987450,26,-5.9906,-37.8144,309.25,3.8
159,Tahe,100,CN,1612987451,94,52.3333,124.7333,259.65,0.31
160,Kawalu,73,ID,1612987452,92,-7.3817,108.2082,295.3,0.54
161,Scarborough,83,GB,1612987453,60,54.2797,-0.4044,273.71,2.68
162,Avera,90,US,1612987454,73,33.194,-82.5271,295.15,3.6
163,Lüderitz,22,NA,1612987456,73,-26.6481,15.1594,293.64,2.59
164,Tela,40,HN,1612987457,84,15.7833,-87.45,303.15,9.26
165,Pochutla,40,MX,1612987458,51,15.7432,-96.4661,304.82,5.14
166,George Town,20,MY,1612987459,83,5.4112,100.3354,300.15,1.54
167,Maragogi,12,BR,1612987198,76,-9.0122,-35.2225,300.25,5.33
168,Taoudenni,0,ML,1612987461,18,22.6783,-3.9836,295.08,4.89
169,Leninsk,75,RU,1612987462,100,48.7119,45.1994,271.15,7.0
170,Inhuma,37,BR,1612987463,64,-6.6683,-41.7078,303.35,0.75
171,Escuintla,1,GT,1612987464,45,14.305,-90.785,305.15,6.17
172,Bethel,1,US,1612987466,43,41.3712,-73.414,273.15,2.06
173,Mari-Turek,81,RU,1612987467,91,56.7895,49.6235,252.06,2.98
174,Hambantota,76,LK,1612987468,74,6.1241,81.1185,296.27,7.19
175,Praia da Vitória,20,PT,1612987469,67,38.7333,-27.0667,289.15,8.41
176,Kaeo,100,NZ,1612987308,96,-35.1,173.7833,290.37,1.79
177,Narsaq,20,GL,1612987471,27,60.9167,-46.05,274.15,10.8
178,Namatanai,97,PG,1612987472,81,-3.6667,152.4333,299.59,1.67
179,Ganzhou,100,CN,1612987473,92,28.8184,115.4327,284.31,2.2
180,Cayenne,75,GF,1612987474,94,4.9333,-52.3333,298.15,2.57
181,Aklavik,0,CA,1612987476,68,68.2191,-135.0107,240.15,2.06
182,Gangarampur,0,IN,1612987477,48,25.4,88.5167,290.64,1.31
183,Fredericksburg,90,US,1612987478,45,38.3032,-77.4605,277.59,2.12
184,Lodwar,100,KE,1612987479,35,3.1191,35.5973,302.53,3.22
185,Fukuechō,100,JP,1612987285,52,32.6881,128.8419,284.95,3.94
186,Bijni,100,IN,1612987481,48,26.4959,90.703,290.46,0.26
187,Cedar City,75,US,1612987482,37,37.6775,-113.0619,284.15,3.09
188,Kiryat Gat,0,IL,1612987484,100,31.61,34.7642,289.26,1.34
189,Hamilton,90,US,1612987374,80,39.1834,-84.5333,268.15,2.57
190,Colares,64,PT,1612987486,95,38.7992,-9.4469,288.15,4.38
191,Birin,7,NP,1612987487,72,26.8865,88.0718,282.05,1.65
192,Tianpeng,94,CN,1612987488,1,30.9866,103.9393,287.04,0.94
193,San Quintín,12,MX,1612987489,62,30.4833,-115.95,288.27,7.0
194,Sonoita,0,MX,1612987490,27,31.85,-112.8333,294.82,3.89
195,Wukari,83,NG,1612987491,14,7.85,9.7833,301.3,1.31
196,San Rafael,79,AR,1612987251,43,-34.6177,-68.3301,298.08,3.19
197,Bagdarin,100,RU,1612987494,91,54.4333,113.6,261.01,2.27
198,Vila,100,PT,1612987495,92,42.0304,-8.1588,282.04,2.09
199,Linqiong,40,CN,1612987496,71,30.4159,103.4609,286.15,0.29
200,Nāhan,0,IN,1612987497,52,30.55,77.3,286.51,1.26
201,Arman',100,RU,1612987257,89,59.7,150.1667,262.48,5.45
202,Alpena,90,US,1612987494,49,45.0617,-83.4327,266.15,2.57
203,Darnah,9,LY,1612987500,40,32.767,22.6367,291.17,4.96
204,Pepel,20,SL,1612987502,70,8.5817,-13.0628,302.15,4.12
205,Dunedin,100,NZ,1612987503,49,-45.8742,170.5036,288.71,1.79
206,Iqaluit,75,CA,1612987504,79,63.7506,-68.5145,262.15,0.5
207,Belém,75,BR,1612987421,89,-1.4558,-48.5044,299.15,3.09
208,Grants Pass,90,US,1612987506,100,42.439,-123.3284,280.15,0.71
209,Port Blair,0,IN,1612987507,69,11.6667,92.75,297.74,4.15
210,Kruisfontein,34,ZA,1612987509,87,-34.0033,24.7314,295.93,0.45
211,Hurghada,0,EG,1612987251,42,27.2574,33.8129,293.15,2.06
212,Tura,0,IN,1612987511,42,25.5198,90.2201,289.44,1.17
213,Mnogovershinnyy,100,RU,1612987512,96,53.9353,139.9242,258.99,3.71
214,Petatlán,1,MX,1612987222,62,17.5167,-101.2667,304.15,3.6
215,Pacific Grove,20,US,1612987376,76,36.6177,-121.9166,287.59,3.09
216,Kasongo-Lunda,100,CD,1612987515,88,-6.4667,16.8167,295.57,0.51
217,La Ronge,100,CA,1612987517,63,55.1001,-105.2842,244.15,1.54
218,Siniscola,40,IT,1612987518,87,40.5719,9.6922,283.15,8.23
219,Mount Gambier,43,AU,1612987519,60,-37.8333,140.7667,293.15,3.09
220,Faanui,0,PF,1612987520,70,-16.4833,-151.75,300.49,5.18
221,Tadine,6,NC,1612987521,83,-21.55,167.8833,298.67,3.16
222,Lorengau,100,PG,1612987522,91,-2.0226,147.2712,297.68,9.13
223,Tessalit,0,ML,1612987515,17,20.1986,1.0114,296.49,4.22
224,Sangar,71,RU,1612987524,85,63.9242,127.4739,246.73,1.31
225,Zhanakorgan,100,KZ,1612987525,93,43.9098,67.2495,275.6,3.89
226,Solnechnyy,44,RU,1612987527,87,50.7214,136.6319,254.92,0.77
227,Kahului,40,US,1612987528,60,20.8947,-156.47,297.15,7.72
228,San Patricio,75,US,1612987500,73,28.017,-97.5169,301.15,9.26
229,Peniche,75,PT,1612987531,92,39.3558,-9.3811,288.15,6.26
230,Porto-Novo,20,BJ,1612987532,79,6.4965,2.6036,303.15,6.17
231,Thompson,75,CA,1612987516,69,55.7435,-97.8558,244.15,3.09
232,Charlotte,90,US,1612987241,67,35.2271,-80.8431,286.48,4.12
233,Khokhlovo,0,RU,1612987535,84,59.1492,37.3998,253.15,2.0
234,Souillac,40,MU,1612987264,83,-20.5167,57.5167,299.15,6.17
235,Meulaboh,70,ID,1612987537,90,4.1363,96.1285,298.04,2.09
